순위,종목코드,종목명,시가총액(조),시가총액비율(%),1순위테마,2순위테마,3순위테마
1,005930,삼성전자,558.814,25.563,반도체,AI반도체,시스템반도체
2,000660,SK하이닉스,311.585,14.253,반도체,AI반도체,메모리
3,373220,LG에너지솔루션,84.123,3.848,2차전지,전기차,친환경에너지
4,207940,삼성바이오로직스,72.17,3.301,바이오의약품,CDMO,헬스케어
5,005935,삼성전자우,60.709,2.777,반도체,AI반도체,시스템반도체
6,012450,한화에어로스페이스,53.729,2.458,방산,우주항공,로봇
7,034020,두산에너빌리티,47.722,2.183,원자력발전,재생에너지,에너지저장시스템
8,329180,HD현대중공업,45.718,2.091,조선업,해양플랜트,친환경선박
9,005380,현대차,44.432,2.033,전기차,자율주행,친환경모빌리티
10,105560,KB금융,43.029,1.968,디지털금융,ESG투자,핀테크
11,035420,NAVER,41.958,1.919,인터넷플랫폼,AI,콘텐츠
12,068270,셀트리온,40.091,1.834,바이오의약품,면역항암제,글로벌시장확장
13,000270,기아,39.615,1.812,전기차,친환경차,스마트 모빌리티
14,055550,신한지주,34.956,1.599,금융,디지털뱅킹,자산관리
15,028260,삼성물산,34.42,1.575,건설,부동산,인프라
16,042660,한화오션,33.491,1.532,조선업,방산,해양에너지
17,402340,SK스퀘어,32.738,1.498,모바일,반도체,IT서비스
18,032830,삼성생명,32.0,1.464,보험,금융서비스,헬스케어
19,009540,HD한국조선해양,29.371,1.344,조선업,해양플랜트,친환경선박
20,035720,카카오,27.468,1.257,메타버스,인터넷 플랫폼,AI
21,012330,현대모비스,27.355,1.251,전기차,자율주행,스마트 모빌리티
22,064350,현대로템,24.011,1.098,철도,방산,스마트시티
23,086790,하나금융지주,23.936,1.095,금융,디지털뱅킹,ESG
24,267260,HD현대일렉트릭,23.791,1.088,스마트그리드,전력전자,친환경에너지
25,015760,한국전력,22.95,1.05,재생에너지,전력시장개편,전기차충전인프라
26,005490,POSCO홀딩스,21.285,0.974,철강,친환경소재,수소경제
27,000810,삼성화재,20.774,0.95,보험,디지털전환,헬스케어
28,011200,HMM,20.368,0.932,해운,물류,친환경선박
29,010140,삼성중공업,19.712,0.902,조선업,해양플랜트,친환경선박
30,051910,LG화학,19.695,0.901,2차전지,친환경소재,전기차
31,138040,메리츠금융지주,19.52,0.893,금융,자산운용,보험
32,010130,고려아연,18.666,0.854,비철금속,친환경소재,전기차
33,316140,우리금융지주,18.609,0.851,디지털금융,핀테크,ESG투자
34,096770,SK이노베이션,17.412,0.797,전기차,2차전지,친환경에너지
35,006400,삼성SDI,16.681,0.763,2차전지,전기차,친환경에너지
36,033780,KT&G,16.207,0.741,담배,헬스케어,소비재
37,034730,SK,15.878,0.726,반도체,전기차,에너지
38,009150,삼성전기,15.723,0.719,MLCC,전자부품,5G
39,024110,기업은행,15.127,0.692,금융,디지털뱅킹,ESG
40,259960,크래프톤,14.313,0.655,게임,메타버스,e스포츠
41,298040,효성중공업,13.968,0.639,전력기술,친환경에너지,산업용기계
42,018260,삼성에스디에스,13.116,0.6,IT서비스,클라우드,디지털전환
43,003670,포스코퓨처엠,13.013,0.595,2차전지,전기차,친환경소재
44,066570,LG전자,12.868,0.589,가전,전기차,AI
45,030200,KT,12.563,0.575,5G,통신인프라,디지털전환
46,006800,미래에셋증권,12.518,0.573,자산관리,금융테크,글로벌투자
47,267250,HD현대,12.481,0.571,조선업,해양플랜트,친환경에너지
48,086280,현대글로비스,12.285,0.562,물류,전자상거래,친환경운송
49,017670,SK텔레콤,11.728,0.536,5G,AI,IoT
50,042700,한미반도체,11.352,0.519,반도체,반도체장비,AI 반도체
