순위,종목코드,종목명,시가총액(조),시가총액비율(%),1순위테마,2순위테마,3순위테마
1,005930,삼성전자,558.814,29.535,반도체,AI반도체,시스템반도체
2,000660,SK하이닉스,311.585,16.468,반도체,AI반도체,메모리반도체
3,373220,LG에너지솔루션,84.123,4.446,2차전지,전기차,에너지저장시스템
4,207940,삼성바이오로직스,72.17,3.814,바이오의약품,CDMO,헬스케어
5,005935,삼성전자우,60.709,3.209,반도체,AI반도체,시스템반도체
6,012450,한화에어로스페이스,53.729,2.84,방산,우주항공,로봇
7,034020,두산에너빌리티,47.722,2.522,신재생에너지,수소에너지,원자력
8,329180,HD현대중공업,45.718,2.416,조선업,해양플랜트,친환경에너지
9,005380,현대차,44.432,2.348,전기차,자율주행,친환경모빌리티
10,105560,KB금융,43.029,2.274,디지털금융,ESG투자,핀테크
11,035420,NAVER,41.958,2.218,인터넷플랫폼,AI,콘텐츠
12,068270,셀트리온,40.091,2.119,바이오의약품,면역항암제,글로벌시장확장
13,000270,기아,39.615,2.094,전기차,친환경차,스마트 모빌리티
14,055550,신한지주,34.956,1.848,금융,디지털뱅킹,자산관리
15,028260,삼성물산,34.42,1.819,건설,부동산개발,인프라
16,042660,한화오션,33.491,1.77,조선업,방산,해양에너지
17,402340,SK스퀘어,32.738,1.73,모바일,반도체,IT서비스
18,032830,삼성생명,32.0,1.691,보험,금융서비스,헬스케어
19,009540,HD한국조선해양,29.371,1.552,조선업,해양플랜트,친환경선박
20,035720,카카오,27.468,1.452,메타버스,인터넷 플랫폼,AI
21,012330,현대모비스,27.355,1.446,전기차,자율주행,스마트 모빌리티
22,064350,현대로템,24.011,1.269,철도,방산,스마트시티
23,086790,하나금융지주,23.936,1.265,금융,디지털뱅킹,ESG
24,267260,HD현대일렉트릭,23.791,1.257,스마트그리드,전력전자,재생에너지
25,015760,한국전력,22.95,1.213,전력산업,재생에너지,스마트그리드
26,005490,POSCO홀딩스,21.285,1.125,철강,친환경소재,수소경제
27,000810,삼성화재,20.774,1.098,보험,디지털전환,리스크관리
28,011200,HMM,20.368,1.076,해운,물류,친환경선박
29,010140,삼성중공업,19.712,1.042,조선업,해양플랜트,친환경선박
30,051910,LG화학,19.695,1.041,2차전지,친환경소재,전기차
